inst#,prediction
1,34
2,35
3,2
4,3
5,8
6,6
7,49
8,18
9,8
10,2
11,7
12,4
13,13
14,18
15,6
16,24
17,14
18,12
19,32
20,0
21,28
22,22
23,12
24,0
25,40
26,43
27,36
28,22
29,5
30,36
31,4
32,28
33,10
34,23
35,31
36,4
37,28
38,36
39,37
40,17
41,23
42,6
43,47
44,34
45,37
46,19
47,26
48,3
49,13
50,43
51,41
52,20
53,45
54,12
55,29
56,34
57,14
58,34
59,44
60,21
61,36
62,18
63,47
64,2
65,50
66,29
67,43
68,32
69,39
70,19
71,12
72,0
73,19
74,13
75,48
76,44
77,15
78,13
79,20
80,15
81,12
82,40
83,13
84,14
85,27
86,50
87,47
88,7
89,45
90,16
91,26
92,0
93,6
94,5
95,44
96,33
97,7
98,47
99,14
100,9
101,7
102,27
103,42
104,27
105,23
106,25
107,49
108,27
109,31
110,29
111,14
112,27
113,6
114,25
115,34
116,35
117,14
118,36
119,26
120,11
121,8
122,49
123,2
124,13
125,30
126,3
127,31
128,12
129,16
130,47
131,40
132,28
133,43
134,34
135,35
136,37
137,0
138,15
139,50
140,36
141,46
142,21
143,18
144,35
145,11
146,34
147,48
148,41
149,4
150,5
151,17
152,27
153,37
154,18
155,11
156,0
157,14
158,13
159,21
160,44
161,11
162,9
163,2
164,20
165,47
166,19
167,23
168,39
169,44
170,25
171,36
172,13
173,4
174,18
175,3
176,5
177,11
178,28
179,0
180,23
181,12
182,0
183,50
184,43
185,18
186,11
187,15
188,9
189,12
190,1
191,33
192,0
193,5
194,26
195,9
196,21
197,11
198,45
199,16
200,0
201,17
202,4
203,21
204,30
205,2
206,7
207,43
208,22
209,40
210,9
211,12
212,33
213,30
214,7
215,36
216,17
217,36
218,13
219,45
220,46
221,1
222,29
223,33
224,25
225,11
226,35
227,33
228,40
229,44
230,31
231,24
232,36
233,43
234,34
235,9
236,12
237,17
238,50
239,27
240,27
241,33
242,10
243,43
244,3
245,39
246,21
247,21
248,27
249,12
250,41
251,27
252,50
253,0
254,23
255,21
256,5
257,20
258,41
259,8
260,45
261,14
262,1
263,43
264,11
265,18
266,28
267,16
268,27
269,10
270,28
271,16
272,41
273,48
274,5
275,7
276,7
277,44
278,3
279,20
280,17
281,48
282,33
283,40
284,14
285,42
286,18
287,36
288,4
289,49
290,29
291,40
292,43
293,27
294,2
295,42
296,24
297,24
298,42
299,9
300,7
301,24
302,44
303,12
304,9
305,19
306,8
307,14
308,3
309,22
310,12
311,12
312,41
313,19
314,5
315,36
316,41
317,50
318,21
319,21
320,8
321,21
322,31
323,18
324,30
325,8
326,7
327,14
328,17
329,6
330,40
331,33
332,17
333,28
334,16
335,49
336,4
337,6
338,13
339,19
340,49
341,37
342,10
343,48
344,14
345,30
346,7
347,43
348,18
349,50
350,6
351,22
352,21
353,41
354,9
355,9
356,28
357,8
358,28
359,4
360,10
361,2
362,37
363,28
364,3
365,15
366,31
367,8
368,42
369,11
370,17
371,8
372,16
373,0
374,5
375,13
376,36
377,39
378,49
379,48
380,29
381,26
382,39
383,50
384,19
385,12
386,26
387,6
388,36
389,1
390,27
391,21
392,39
393,22
394,35
395,38
396,33
397,13
398,19
399,45
400,0
401,20
402,33
403,14
404,43
405,1
406,13
407,4
408,41
409,2
410,9
411,11
412,2
413,26
414,23
415,19
416,18
417,41
418,5
419,3
420,50
421,24
422,0
423,1
424,14
425,50
426,4
427,18
428,47
429,15
430,26
431,13
432,39
433,12
434,4
435,5
436,7
437,21
438,36
439,4
440,14
441,26
442,42
443,19
444,47
445,10
446,36
447,10
448,23
449,18
450,26
451,2
452,17
453,6
454,6
455,28
456,8
457,27
458,48
459,7
460,31
461,23
462,42
463,33
464,19
465,10
466,42
467,6
468,48
469,21
470,7
471,8
472,37
473,50
474,12
475,7
476,2
477,6
478,30
479,26
480,46
481,16
482,14
483,39
484,17
485,49
486,10
487,31
488,33
489,32
490,0
491,8
492,14
493,6
494,43
495,0
496,0
497,19
498,0
499,31
500,3
501,6
502,41
503,29
504,8
505,17
506,9
507,41
508,23
509,50
510,8
511,27
512,1
513,6
514,19
