inst#,predicted
1,8
2,35
3,43
4,3
5,8 
6,6
7,28
8,17 
9,34
10,44 
11,46
12,43
13,13
14,18 
15,9 
16,10
17,14
18,12
19,1
20,8 
21,28
22,27
23,48
24,32
25,38
26,10
27,46 
28,40
29,45
30,36
31,12
32,28
33,10
34,49
35,19
36,4
37,35
38,48
39,37
40,17
41,23
42,6
43,46
44,34
45,37
46,8 
47,26
48,3
49,48 
50,43 
51,41
52,20
53,20 
54,10
55,49 
56,34 
57,30 
58,8 
59,32
60,20 
61,23
62,42
63,22
64,30
65,50
66,28 
67,31
68,1
69,26
70,4
71,12
72,24
73,19
74,2
75,38
76,2
77,15
78,38
79,13
80,9
81,18
82,40
83,12
84,14 
85,29
86,5
87,47
88,6 
89,13
90,40
91,4
92,0
93,6
94,2 
95,37
96,47
97,23 
98,7
99,16
100,0
101,14
102,20
103,17
104,4 
105,42
106,50 
107,38
108,33
109,15
110,23
111,3
112,27
113,9
114,25
115,34
116,35
117,14
118,36
119,26
120,46
121,8
122,49
123,2
124,28
125,31
126,0
127,31
128,28
129,14
130,47
131,40
132,44 
133,10
134,34
135,35 
136,47
137,12
138,5
139,25
140,36
141,46
142,36
143,14
144,35
145,28 
146,34 
147,23
148,50
149,17
150,4
151,34
152,27
153,37 
154,18
155,11
156,50
157,16 
158,49 
159,36 
160,25
161,11
162,42
163,2
164,20
165,26
166,42
167,49
168,0
169,9 
170,25
171,48
172,13
173,28
174,18
175,0 
176,5
177,45
178,26 
179,26 
180,23 
181,12
182,43
183,50
184,47
185,18 
186,11 
187,41
188,0
189,12
190,25
191,20
192,13
193,19
194,39 
195,7
196,46
197,20
198,28
199,16
200,0
201,39
202,22
203,46
204,12
205,2
206,7
207,36
208,22 
209,40
210,40
211,16
212,33
213,15 
214,45 
215,50 
216,17
217,13
218,28
219,14 
220,22
221,32 
222,29
223,33 
224,1 
225,11
226,35
227,7
228,39 
229,18
230,25
231,24
232,46
233,44
234,34
235,0
236,39
237,44 
238,49
239,36
240,46
241,29
242,10
243,8
244,9
245,48
246,46 
247,22
248,27
249,48
250,41
251,27
252,0
253,49
254,48
255,27
256,2
257,11
258,3
259,8 
260,45
261,18 
262,3
263,5
264,21 
265,18 
266,44
267,14 
268,31 
269,10
270,2
271,16 
272,41
273,45
274,42
275,35
276,6
277,30
278,3 
279,29
280,17
281,49
282,48
283,40
284,40
285,35 
286,18
287,33 
288,45
289,49
290,35
291,16 
292,49
293,11
294,10
295,42
296,49 
297,24
298,32
299,4
300,7
301,24
302,14
303,23 
304,7
305,24
306,8 
307,4
308,20
309,46
310,10
311,22
312,41
313,19
314,43 
315,31
316,41
317,25
318,36
319,21
320,37
321,21
322,15
323,18 
324,30
325,19
326,4
327,1
328,17
329,26
330,40 
331,36
332,9
333,30
334,26
335,24
336,4
337,6
338,12
339,19
340,23 
341,37 
342,10
343,24
344,40
345,12
346,38 
347,0
348,18
349,3
350,14 
351,47
352,21
353,41
354,9
355,3
356,14 
357,8 
358,28
359,25
360,23
361,2
362,37
363,40
364,3 
365,15
366,37
367,8
368,42
369,11
370,3 
371,8
372,47
373,7
374,17 
375,11 
376,33
377,15
378,43
379,24 
380,36
381,28
382,7 
383,8
384,19
385,12
386,47
387,16
388,36
389,4
390,27
391,21
392,14
393,22 
394,42
395,38
396,22 
397,13
398,7 
399,20
400,0
401,45
402,33
403,14
404,18 
405,30 
406,13
407,4
408,41
409,14 
410,41 
411,11
412,6
413,26
414,23
415,4 
416,18 
417,3
418,50
419,3
420,4
421,7
422,31
423,1
424,16
425,43
426,16
427,14
428,7 
429,15 
430,28
431,12
432,0
433,23
434,15
435,4
436,7
437,21
438,36
439,37
440,16
441,26
442,17
443,15
444,47
445,16 
446,36
447,10
448,48
449,47
450,38
451,2
452,41 
453,20 
454,14
455,2
456,8 
457,27
458,23
459,7
460,1
461,38
462,42
463,21
464,5
465,48 
466,32
467,18 
468,42
469,21
470,23
471,8
472,31
473,4
474,21
475,47
476,28 
477,9
478,32
479,26
480,46
481,16
482,14
483,14
484,50
485,49
486,10
487,31
488,7
489,1
490,17
491,8
492,28
493,2 
494,43
495,43
496,42
497,19
498,41
499,31 
500,39 
501,6
502,31
503,29
504,37
505,1
506,35
507,41
508,38
509,3
510,34
511,20
512,1
513,39
514,19
