=== Run information ===

Scheme:       weka.classifiers.functions.MultilayerPerceptron -L 0.3 -M 0.2 -N 10 -V 0 -S 0 -E 20 -H a -G -R -D
Relation:     ds2Train-weka.filters.unsupervised.attribute.NumericToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last
Instances:    6400
Attributes:   1025
              [list of attributes omitted]
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Predictions on test set ===

    inst#     actual  predicted error prediction
        1        6:5        6:5       0.937 
        2        2:1        2:1       0.995 
        3        3:2        3:2       0.987 
        4        9:8        9:8       0.998 
        5        9:8        9:8       0.967 
        6        7:6        7:6       0.95 
        7        8:7        8:7       0.993 
        8        5:4        5:4       0.993 
        9       10:9        6:5   +   0.451 
       10        9:8        3:2   +   0.8 
       11        6:5        6:5       0.96 
       12        5:4        5:4       0.907 
       13       10:9       10:9       0.994 
       14       10:9       10:9       0.942 
       15        2:1        2:1       1 
       16        9:8        9:8       0.959 
       17        5:4        5:4       0.471 
       18        5:4        5:4       0.825 
       19        6:5        6:5       0.996 
       20        2:1        1:0   +   0.829 
       21        6:5        6:5       0.997 
       22        1:0        1:0       0.998 
       23        5:4        5:4       0.999 
       24        6:5        6:5       0.988 
       25        2:1        2:1       0.512 
       26       10:9       10:9       0.528 
       27        7:6        7:6       0.932 
       28        2:1        2:1       0.998 
       29        9:8        9:8       0.735 
       30       10:9       10:9       0.988 
       31        5:4        7:6   +   0.673 
       32        1:0        1:0       0.995 
       33       10:9       10:9       0.916 
       34        3:2        3:2       0.516 
       35        2:1        2:1       0.998 
       36        6:5        6:5       0.967 
       37        5:4        5:4       0.961 
       38        4:3        4:3       0.995 
       39       10:9       10:9       0.976 
       40        6:5        6:5       0.991 
       41       10:9       10:9       0.999 
       42        2:1        6:5   +   0.346 
       43        9:8        9:8       0.99 
       44        1:0        1:0       0.935 
       45       10:9       10:9       0.994 
       46        2:1        2:1       0.998 
       47        2:1        2:1       0.962 
       48        1:0        1:0       0.992 
       49        2:1        2:1       0.998 
       50       10:9       10:9       0.793 
       51        6:5        6:5       0.967 
       52        1:0        1:0       0.979 
       53        2:1        2:1       1 
       54        2:1        2:1       0.999 
       55        6:5        6:5       0.936 
       56        6:5        6:5       0.991 
       57        9:8        9:8       0.888 
       58        2:1        2:1       1 
       59        1:0        1:0       0.924 
       60        8:7        8:7       0.997 
       61       10:9       10:9       0.892 
       62        2:1        2:1       0.998 
       63        5:4        5:4       0.991 
       64        2:1        2:1       0.996 
       65        6:5        6:5       0.97 
       66       10:9       10:9       0.953 
       67        4:3        4:3       0.906 
       68       10:9       10:9       0.992 
       69       10:9       10:9       0.997 
       70        6:5        6:5       0.996 
       71        5:4        5:4       0.994 
       72        1:0        2:1   +   0.584 
       73       10:9       10:9       0.999 
       74        6:5        6:5       0.95 
       75        5:4        5:4       0.995 
       76        2:1        2:1       0.997 
       77        2:1        2:1       0.997 
       78        7:6        7:6       0.982 
       79       10:9       10:9       0.576 
       80        2:1        2:1       0.994 
       81       10:9       10:9       0.948 
       82        2:1        2:1       0.978 
       83        2:1        2:1       1 
       84       10:9       10:9       0.978 
       85        2:1        2:1       0.999 
       86       10:9       10:9       0.959 
       87        2:1        2:1       0.994 
       88        6:5        6:5       0.914 
       89        1:0        1:0       0.835 
       90        2:1        2:1       0.997 
       91        1:0        1:0       0.871 
       92       10:9       10:9       0.721 
       93       10:9       10:9       0.989 
       94        4:3        6:5   +   0.908 
       95       10:9       10:9       0.985 
       96        1:0        1:0       0.999 
       97        2:1        2:1       1 
       98        1:0        1:0       0.989 
       99       10:9        3:2   +   0.972 
      100        1:0        1:0       0.795 
      101        1:0        5:4   +   0.906 
      102        1:0        1:0       0.938 
      103        1:0        1:0       0.903 
      104        9:8        9:8       0.971 
      105        5:4        5:4       0.967 
      106       10:9       10:9       0.999 
      107        2:1        2:1       0.999 
      108       10:9       10:9       0.904 
      109        2:1        2:1       1 
      110        1:0        1:0       0.999 
      111        9:8        9:8       0.953 
      112        9:8        9:8       0.962 
      113        5:4        5:4       0.922 
      114        1:0        9:8   +   0.889 
      115       10:9       10:9       0.63 
      116        2:1        2:1       0.999 
      117        2:1        2:1       0.979 
      118        2:1        2:1       0.971 
      119        6:5        6:5       0.996 
      120       10:9       10:9       0.732 
      121        2:1        2:1       0.999 
      122        2:1        2:1       0.851 
      123       10:9       10:9       0.933 
      124        2:1        2:1       0.998 
      125        1:0        1:0       0.818 
      126        9:8        2:1   +   0.995 
      127        1:0        1:0       0.589 
      128       10:9       10:9       0.991 
      129        4:3        4:3       0.965 
      130       10:9       10:9       0.996 
      131        1:0        1:0       0.998 
      132        5:4        5:4       0.997 
      133        2:1        2:1       0.999 
      134       10:9       10:9       0.858 
      135       10:9       10:9       0.998 
      136       10:9       10:9       0.994 
      137        9:8        9:8       0.984 
      138        6:5        6:5       0.565 
      139       10:9       10:9       0.973 
      140        6:5        6:5       0.983 
      141       10:9       10:9       0.999 
      142        1:0        1:0       0.879 
      143       10:9       10:9       0.999 
      144        2:1        2:1       0.999 
      145        5:4        5:4       0.549 
      146        2:1        2:1       0.913 
      147        2:1        2:1       0.739 
      148        6:5        6:5       0.993 
      149        3:2        3:2       0.989 
      150        6:5        6:5       0.98 
      151        6:5        6:5       0.989 
      152       10:9       10:9       0.961 
      153        5:4        5:4       0.665 
      154        6:5        6:5       0.964 
      155       10:9       10:9       1 
      156        6:5        6:5       0.993 
      157        1:0        1:0       0.833 
      158        2:1        2:1       0.916 
      159        1:0        1:0       0.997 
      160        5:4        5:4       0.663 
      161        9:8        9:8       0.916 
      162        9:8        9:8       0.938 
      163        5:4        5:4       0.934 
      164        3:2        3:2       0.947 
      165       10:9       10:9       0.549 
      166        6:5        6:5       0.997 
      167        2:1        2:1       0.984 
      168        5:4        5:4       0.986 
      169        9:8        9:8       0.995 
      170        2:1        2:1       1 
      171        1:0        1:0       0.979 
      172        9:8        9:8       0.959 
      173        5:4        5:4       0.932 
      174        2:1        2:1       1 
      175        9:8        9:8       0.959 
      176        9:8        9:8       0.997 
      177        9:8       10:9   +   0.516 
      178        9:8        9:8       0.985 
      179        1:0        1:0       0.826 
      180        5:4        5:4       0.654 
      181        5:4       10:9   +   0.931 
      182        5:4        5:4       0.993 
      183       10:9       10:9       0.982 
      184       10:9       10:9       0.986 
      185        2:1        2:1       1 
      186        2:1        2:1       0.996 
      187        3:2        9:8   +   0.977 
      188        7:6        7:6       0.954 
      189        2:1        2:1       0.997 
      190       10:9       10:9       0.977 
      191        9:8        9:8       0.636 
      192        5:4        5:4       0.976 
      193       10:9       10:9       0.999 
      194        6:5        6:5       0.933 
      195        1:0        1:0       0.677 
      196        1:0        1:0       0.98 
      197        2:1        2:1       1 
      198       10:9       10:9       0.997 
      199       10:9       10:9       0.974 
      200        9:8        9:8       0.994 
      201        5:4        5:4       0.992 
      202        6:5        6:5       0.992 
      203        3:2        9:8   +   0.995 
      204        5:4        5:4       0.733 
      205        7:6        7:6       0.958 
      206       10:9       10:9       0.867 
      207        1:0        1:0       0.994 
      208        2:1        2:1       0.991 
      209        2:1        2:1       0.975 
      210        6:5        6:5       0.893 
      211        2:1        2:1       0.999 
      212        1:0        1:0       0.937 
      213        2:1        2:1       0.999 
      214        5:4        5:4       0.893 
      215        1:0        1:0       0.989 
      216        9:8        9:8       0.976 
      217        2:1        2:1       0.992 
      218       10:9       10:9       0.9 
      219        2:1        2:1       0.986 
      220        2:1        2:1       0.548 
      221       10:9       10:9       0.961 
      222        6:5        6:5       0.992 
      223        2:1        2:1       1 
      224        6:5        6:5       0.986 
      225        6:5        6:5       0.659 
      226        2:1        2:1       0.976 
      227        6:5        6:5       0.947 
      228        2:1        4:3   +   0.89 
      229        1:0        1:0       0.998 
      230        5:4        5:4       0.708 
      231        9:8        9:8       0.636 
      232        1:0        1:0       0.984 
      233        2:1        2:1       0.999 
      234        2:1        2:1       0.954 
      235        7:6        7:6       0.931 
      236        6:5        6:5       0.978 
      237        2:1        2:1       0.996 
      238        2:1        2:1       0.994 
      239        1:0        1:0       0.67 
      240       10:9       10:9       0.927 
      241        5:4       10:9   +   0.744 
      242        2:1        2:1       0.999 
      243        5:4        5:4       0.981 
      244        7:6        7:6       0.899 
      245        4:3        4:3       0.967 
      246        6:5        6:5       0.98 
      247       10:9       10:9       0.997 
      248       10:9       10:9       0.998 
      249       10:9        3:2   +   0.936 
      250        9:8        9:8       0.89 
      251       10:9        9:8   +   0.574 
      252        1:0        1:0       0.917 
      253        3:2        3:2       0.971 
      254        5:4        5:4       0.989 
      255        5:4        5:4       0.846 
      256       10:9       10:9       0.993 
      257        9:8        9:8       0.917 
      258       10:9       10:9       0.852 
      259        1:0        1:0       0.982 
      260        5:4        5:4       0.948 
      261       10:9       10:9       1 
      262       10:9       10:9       0.935 
      263        4:3        4:3       0.64 
      264       10:9        6:5   +   0.587 
      265        1:0        1:0       0.817 
      266        2:1        2:1       0.999 
      267        2:1        1:0   +   0.683 
      268        2:1        2:1       0.859 
      269       10:9       10:9       0.999 
      270        1:0        1:0       0.987 
      271        2:1        2:1       0.986 
      272        7:6        7:6       0.738 
      273        6:5        6:5       0.994 
      274        2:1        2:1       0.996 
      275        1:0        1:0       0.902 
      276        1:0        1:0       0.946 
      277        8:7        8:7       0.988 
      278       10:9        6:5   +   0.446 
      279        6:5        6:5       0.964 
      280       10:9       10:9       0.98 
      281       10:9       10:9       0.991 
      282        1:0        1:0       0.957 
      283        1:0        1:0       0.94 
      284        2:1        2:1       0.996 
      285        2:1        2:1       0.998 
      286        2:1        2:1       0.786 
      287        4:3        4:3       0.86 
