=== Run information ===

Scheme:       weka.classifiers.functions.MultilayerPerceptron -L 0.2 -M 0.2 -N 10 -V 0 -S 0 -E 20 -H a -G -R
Relation:     ds2Train-weka.filters.unsupervised.attribute.NumericToBinary-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last
Instances:    6400
Attributes:   1025
              [list of attributes omitted]
Test mode:    user supplied test set:  size unknown (reading incrementally)

=== Predictions on test set ===

    inst#     actual  predicted error prediction
        1        6:5        6:5       0.993 
        2        2:1        2:1       0.997 
        3        3:2        3:2       0.997 
        4        9:8        9:8       0.999 
        5        9:8        9:8       0.988 
        6        7:6        7:6       0.983 
        7        8:7        8:7       0.999 
        8        5:4        5:4       0.995 
        9       10:9        6:5   +   0.509 
       10        9:8        3:2   +   0.956 
       11        6:5        6:5       0.984 
       12        5:4        5:4       0.797 
       13       10:9       10:9       0.999 
       14       10:9       10:9       0.992 
       15        2:1        2:1       1 
       16        9:8        9:8       0.993 
       17        5:4        5:4       0.615 
       18        5:4        5:4       0.921 
       19        6:5        6:5       0.999 
       20        2:1        1:0   +   0.544 
       21        6:5        6:5       0.999 
       22        1:0        1:0       0.999 
       23        5:4        5:4       1 
       24        6:5        6:5       0.995 
       25        2:1        2:1       0.609 
       26       10:9       10:9       0.548 
       27        7:6        7:6       0.974 
       28        2:1        2:1       0.999 
       29        9:8        9:8       0.986 
       30       10:9       10:9       0.994 
       31        5:4        7:6   +   0.815 
       32        1:0        1:0       0.999 
       33       10:9       10:9       0.986 
       34        3:2       10:9   +   0.799 
       35        2:1        2:1       0.999 
       36        6:5        6:5       0.994 
       37        5:4        5:4       0.968 
       38        4:3        4:3       0.996 
       39       10:9       10:9       0.984 
       40        6:5        6:5       0.998 
       41       10:9       10:9       1 
       42        2:1        2:1       0.543 
       43        9:8        9:8       0.998 
       44        1:0        1:0       0.875 
       45       10:9       10:9       0.998 
       46        2:1        2:1       0.995 
       47        2:1        2:1       0.981 
       48        1:0        1:0       0.998 
       49        2:1        2:1       0.999 
       50       10:9       10:9       0.51 
       51        6:5        6:5       0.99 
       52        1:0        1:0       0.992 
       53        2:1        2:1       1 
       54        2:1        2:1       1 
       55        6:5        6:5       0.97 
       56        6:5        6:5       0.997 
       57        9:8        9:8       0.973 
       58        2:1        2:1       1 
       59        1:0        1:0       0.987 
       60        8:7        8:7       0.999 
       61       10:9       10:9       0.779 
       62        2:1        2:1       1 
       63        5:4        5:4       0.996 
       64        2:1        2:1       0.992 
       65        6:5        6:5       0.982 
       66       10:9       10:9       0.974 
       67        4:3        4:3       0.988 
       68       10:9       10:9       0.995 
       69       10:9       10:9       0.999 
       70        6:5        6:5       0.999 
       71        5:4        5:4       0.998 
       72        1:0        2:1   +   0.865 
       73       10:9       10:9       1 
       74        6:5        6:5       0.989 
       75        5:4        5:4       0.999 
       76        2:1        2:1       0.998 
       77        2:1        2:1       1 
       78        7:6        7:6       0.995 
       79       10:9       10:9       0.914 
       80        2:1        2:1       0.998 
       81       10:9       10:9       0.933 
       82        2:1        2:1       0.995 
       83        2:1        2:1       1 
       84       10:9       10:9       0.989 
       85        2:1        2:1       0.999 
       86       10:9       10:9       0.971 
       87        2:1        2:1       0.998 
       88        6:5        6:5       0.938 
       89        1:0        1:0       0.944 
       90        2:1        2:1       0.999 
       91        1:0        1:0       0.895 
       92       10:9       10:9       0.704 
       93       10:9       10:9       0.998 
       94        4:3        6:5   +   0.961 
       95       10:9       10:9       0.997 
       96        1:0        1:0       0.999 
       97        2:1        2:1       1 
       98        1:0        1:0       0.994 
       99       10:9        3:2   +   0.995 
      100        1:0        1:0       0.583 
      101        1:0        5:4   +   0.993 
      102        1:0        1:0       0.984 
